         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 magic.py:1(<module>)
    10527    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      310    0.000    0.000    0.013    0.000 _unique.py:105(<genexpr>)
  150/146    0.002    0.000    0.013    0.000 series.py:392(__init__)
    43743    0.008    0.000    0.013    0.000 _parser.py:260(get)
        2    0.000    0.000    0.013    0.006 fields.py:1(<module>)
        2    0.000    0.000    0.013    0.006 cloudpickle.py:1(<module>)
5496/1424    0.001    0.000    0.013    0.000 <frozen abc>:121(__subclasscheck__)
      155    0.000    0.000    0.013    0.000 _unique.py:62(_cached_unique)
      128    0.001    0.000    0.013    0.000 loading.py:812(_instance_processor)
       54    0.000    0.000    0.013    0.000 decl_base.py:1710(_setup_table)
   124/54    0.000    0.000    0.013    0.000 pickle.py:619(save_reduce)
        2    0.000    0.000    0.013    0.006 parallel.py:1376(_initialize_backend)
        2    0.000    0.000    0.013    0.006 _parallel_backends.py:610(configure)
    15375    0.007    0.000    0.013    0.000 _docscrape.py:86(is_unindented)
        2    0.000    0.000    0.013    0.006 util.py:439(spawnv_passfds)
        4    0.000    0.000    0.013    0.003 defaults.py:1(<module>)
       12    0.000    0.000    0.013    0.001 types.py:1(<module>)
        1    0.000    0.000    0.013    0.013 bisect.py:1(<module>)
    25786    0.009    0.000    0.012    0.000 _docscrape.py:91(peek)
    20307    0.008    0.000    0.012    0.000 typing.py:2528(get_origin)
      303    0.000    0.000    0.012    0.000 langhelpers.py:1247(oneshot)
     6256    0.008    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(release)
     5652    0.007    0.000    0.012    0.000 _docscrape.py:475(_str_param_list)
5496/1424    0.011    0.000    0.012    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.012    0.012 getpass.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _bsplines.py:1(<module>)
        1    0.000    0.000    0.012    0.012 isotonic.py:1(<module>)
       20    0.000    0.000    0.012    0.001 axis.py:1585(_get_tick)
        1    0.000    0.000    0.012    0.012 take.py:1(<module>)
        2    0.000    0.000    0.012    0.006 executor.py:17(get_memmapping_executor)
        2    0.000    0.000    0.012    0.006 executor.py:22(get_memmapping_executor)
       61    0.000    0.000    0.012    0.000 base.py:3295(raw_connection)
      406    0.003    0.000    0.012    0.000 __init__.py:848(children)
        6    0.000    0.000    0.012    0.002 sqlalchemy_store.py:1079(_insert_metrics)
     2393    0.003    0.000    0.012    0.000 __init__.py:868(mtime)
    82/58    0.000    0.000    0.012    0.000 text.py:738(draw)
       61    0.000    0.000    0.012    0.000 base.py:440(connect)
        1    0.000    0.000    0.012    0.012 descriptor_pool.py:1(<module>)
     2877    0.002    0.000    0.012    0.000 typing.py:1307(__init__)
    44947    0.008    0.000    0.012    0.000 _parser.py:167(__getitem__)
  518/430    0.001    0.000    0.012    0.000 artist.py:1190(_update_props)
        1    0.000    0.000    0.012    0.012 template.py:1(<module>)
      289    0.000    0.000    0.012    0.000 cache_key.py:411(_generate_cache_key)
        6    0.000    0.000    0.012    0.002 loading.py:1546(invoke)
2883/2551    0.002    0.000    0.012    0.000 langhelpers.py:1232(__get__)
       27    0.000    0.000    0.012    0.000 _classification.py:76(_check_targets)
        1    0.000    0.000    0.012    0.012 _svds.py:1(<module>)
 1782/769    0.001    0.000    0.012    0.000 operators.py:577(__eq__)
     2170    0.009    0.000    0.012    0.000 _compiler.py:241(_optimize_charset)
       61    0.001    0.000    0.012    0.000 base.py:1264(_checkout)
        2    0.000    0.000    0.012    0.006 construction.py:1(<module>)
     7214    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       18    0.000    0.000    0.012    0.001 strategies.py:3143(_load_for_path)
      289    0.000    0.000    0.012    0.000 cache_key.py:347(_generate_cache_key)
        1    0.000    0.000    0.012    0.012 _rotation_groups.py:1(<module>)
        2    0.005    0.003    0.012    0.006 image.py:585(draw)
        3    0.000    0.000    0.012    0.004 main.py:632(model_rebuild)
       96    0.000    0.000    0.012    0.000 _set_output.py:357(__init_subclass__)
  359/319    0.000    0.000    0.012    0.000 artist.py:146(<lambda>)
        1    0.000    0.000    0.012    0.012 figure.py:792(subplots)
        1    0.000    0.000    0.012    0.012 _rgi.py:1(<module>)
        1    0.000    0.000    0.012    0.012 gridspec.py:249(subplots)
        2    0.000    0.000    0.011    0.006 dataset.py:1(<module>)
        1    0.000    0.000    0.011    0.011 remote.py:330(refresh)
      609    0.001    0.000    0.011    0.000 fields.py:378(from_annotated_attribute)
  359/319    0.000    0.000    0.011    0.000 artist.py:1239(set)
     5539    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
    60/46    0.000    0.000    0.011    0.000 cmd.py:1005(__getattribute__)
        1    0.000    0.000    0.011    0.011 cmd.py:1038(version_info)
    20262    0.006    0.000    0.011    0.000 _tokenizer.py:114(check)
        1    0.000    0.000    0.011    0.011 _trustregion_krylov.py:1(<module>)
       73    0.000    0.000    0.011    0.000 strategies.py:768(init_class_attribute)
      137    0.002    0.000    0.011    0.000 typing.py:3142(__new__)
      143    0.000    0.000    0.011    0.000 _generate_schema.py:703(clean_schema)
      824    0.001    0.000    0.011    0.000 type_api.py:202(operate)
        3    0.000    0.000    0.011    0.004 fluent.py:1613(log_artifact)
   103315    0.011    0.000    0.011    0.000 {method 'rstrip' of 'str' objects}
        2    0.000    0.000    0.011    0.006 image.py:903(make_image)
       47    0.000    0.000    0.011    0.000 axis.py:1644(get_major_ticks)
        2    0.001    0.000    0.011    0.006 image.py:337(_make_image)
  634/633    0.002    0.000    0.011    0.000 registry.py:284(listen)
        2    0.000    0.000    0.011    0.006 core.py:198(read_style_directory)
        1    0.000    0.000    0.011    0.011 cm.py:1(<module>)
      364    0.001    0.000    0.011    0.000 resource_tracker.py:218(_send)
  441/367    0.000    0.000    0.011    0.000 artist.py:1228(_internal_update)
        1    0.000    0.000    0.011    0.011 c_parser.py:1(<module>)
        1    0.000    0.000    0.011    0.011 heapq.py:1(<module>)
        3    0.000    0.000    0.011    0.004 request.py:2674(proxy_bypass)
        1    0.000    0.000    0.011    0.011 __init__.py:835(_mac_os_check)
 1644/289    0.005    0.000    0.011    0.000 cache_key.py:221(_gen_cache_key)
        1    0.000    0.000    0.011    0.011 iso2022_jp.py:1(<module>)
        1    0.000    0.000    0.011    0.011 Image.py:429(preinit)
     2736    0.005    0.000    0.011    0.000 numerictypes.py:475(issubdtype)
        1    0.000    0.000    0.011    0.011 geo.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _polynomial_impl.py:458(polyfit)
       14    0.000    0.000    0.011    0.001 axis.py:268(draw)
2090/1846    0.001    0.000    0.011    0.000 {built-in method _operator.eq}
        1    0.000    0.000    0.011    0.011 4465047574b1_increase_max_dataset_schema_size.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _clip.py:1(<module>)
        1    0.000    0.000    0.011    0.011 objects.py:1(<module>)
    51831    0.007    0.000    0.011    0.000 {method 'extend' of 'list' objects}
128571/128440    0.010    0.000    0.011    0.000 {built-in method posix.fspath}
      310    0.000    0.000    0.011    0.000 resource_tracker.py:210(register)
     2612    0.001    0.000    0.011    0.000 base.py:463(__get__)
     3868    0.006    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
    24112    0.007    0.000    0.011    0.000 typing.py:1294(_is_dunder)
      108    0.000    0.000    0.011    0.000 docscrape.py:384(_parse)
     4098    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:420(__exit__)
    18317    0.011    0.000    0.011    0.000 {method 'expandtabs' of 'str' objects}
    64/54    0.000    0.000    0.011    0.000 pickle.py:983(save_dict)
        1    0.000    0.000    0.011    0.011 printoptions.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _fit.py:1(<module>)
     3532    0.001    0.000    0.010    0.000 typing.py:789(<genexpr>)
   156069    0.010    0.000    0.010    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.010    0.010 ssl_.py:1(<module>)
        6    0.000    0.000    0.010    0.002 models.py:1319(to_mlflow_entity)
    64/54    0.000    0.000    0.010    0.000 pickle.py:994(_batch_setitems)
    77749    0.010    0.000    0.010    0.000 _docscrape.py:43(__getitem__)
        3    0.000    0.000    0.010    0.003 client.py:2730(log_artifact)
      380    0.004    0.000    0.010    0.000 _docscrape.py:290(_parse_see_also)
      726    0.001    0.000    0.010    0.000 message.py:243(get_payload)
       38    0.000    0.000    0.010    0.000 fromnumeric.py:1421(searchsorted)
        1    0.000    0.000    0.010    0.010 file_store.py:1(<module>)
      371    0.000    0.000    0.010    0.000 visitors.py:1096(replacement_traverse)
       38    0.010    0.000    0.010    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.010    0.010 uuid.py:1(<module>)
       13    0.004    0.000    0.010    0.001 process_executor.py:643(add_call_item_to_queue)
        1    0.000    0.000    0.010    0.010 _least_angle.py:1(<module>)
      131    0.001    0.000    0.010    0.000 _distn_infrastructure.py:752(_construct_argparser)
        3    0.000    0.000    0.010    0.003 request.py:2660(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    0.010    0.010 contextvars.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _linprog_rs.py:1(<module>)
      645    0.003    0.000    0.010    0.000 schema.py:1506(__init__)
        1    0.000    0.000    0.010    0.010 fixtures.py:1(<module>)
        1    0.000    0.000    0.010    0.010 arpack.py:1(<module>)
      380    0.000    0.000    0.010    0.000 resource_tracker.py:113(ensure_running)
      5/4    0.000    0.000    0.010    0.003 axis.py:1396(draw)
       16    0.000    0.000    0.010    0.001 default.py:948(do_executemany)
       16    0.010    0.001    0.010    0.001 {method 'executemany' of 'sqlite3.Cursor' objects}
        2    0.000    0.000    0.010    0.005 url.py:1(<module>)
  546/542    0.001    0.000    0.010    0.000 interfaces.py:1053(_get_strategy)
        1    0.000    0.000    0.010    0.010 service_pb2.py:1(<module>)
        6    0.000    0.000    0.010    0.002 context.py:78(cpu_count)
        1    0.000    0.000    0.010    0.010 _wilcoxon.py:1(<module>)
 1367/371    0.002    0.000    0.010    0.000 visitors.py:1132(clone)
        2    0.000    0.000    0.010    0.005 _backend.py:1(<module>)
        1    0.000    0.000    0.010    0.010 python_message.py:1(<module>)
        1    0.000    0.000    0.010    0.010 predictor.py:1(<module>)
      380    0.001    0.000    0.010    0.000 resource_tracker.py:203(_ensure_running_and_write)
        1    0.000    0.000    0.010    0.010 _psosx.py:1(<module>)
        2    0.000    0.000    0.010    0.005 parallel.py:1776(_retrieve)
      276    0.000    0.000    0.010    0.000 session.py:2097(_connection_for_bind)
        4    0.000    0.000    0.010    0.002 version.py:12(_is_package_installed)
        1    0.000    0.000    0.010    0.010 cmd.py:1696(__get_object_header)
        3    0.010    0.003    0.010    0.003 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.010    0.010 assessment_error.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _hash.py:1(<module>)
      143    0.000    0.000    0.010    0.000 _decorators.py:484(__call__)
        1    0.000    0.000    0.010    0.010 _lda.py:1(<module>)
      464    0.001    0.000    0.010    0.000 typing.py:1634(__getitem__)
        4    0.000    0.000    0.010    0.002 loader.py:1(<module>)
      437    0.000    0.000    0.010    0.000 interfaces.py:1110(do_init)
      209    0.003    0.000    0.010    0.000 typing.py:812(Literal)
        4    0.000    0.000    0.010    0.002 filters.py:1(<module>)
        3    0.000    0.000    0.010    0.003 adapters.py:455(get_connection_with_tls_context)
     2233    0.003    0.000    0.010    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.010    0.010 figure.py:1200(colorbar)
       26    0.000    0.000    0.010    0.000 _encode.py:240(_check_unknown)
        1    0.000    0.000    0.010    0.010 _tnc.py:1(<module>)
1428/1426    0.001    0.000    0.010    0.000 traversals.py:252(visit_clauseelement)
       54    0.001    0.000    0.010    0.000 mapper.py:1469(_configure_class_instrumentation)
        1    0.000    0.000    0.010    0.010 _qmvnt.py:1(<module>)
       18    0.000    0.000    0.010    0.001 strategies.py:3409(_load_via_parent)
        4    0.010    0.002    0.010    0.002 extmath.py:166(safe_sparse_dot)
        1    0.000    0.000    0.009    0.009 parallel.py:631(cpu_count)
        1    0.000    0.000    0.009    0.009 core_schema.py:1(<module>)
        2    0.000    0.000    0.009    0.005 train_model.py:187(_create_4class_labels)
        1    0.000    0.000    0.009    0.009 _rigid_transform.py:59(RigidTransform)
        1    0.000    0.000    0.009    0.009 _fileio.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _hypotests.py:1(<module>)
      782    0.001    0.000    0.009    0.000 _parser.py:243(_parse_specifier)
      143    0.000    0.000    0.009    0.000 _generate_schema.py:2822(finalize_schema)
       14    0.000    0.000    0.009    0.001 _memmapping_reducer.py:607(register_new_context)
     2138    0.006    0.000    0.009    0.000 _delegation.py:34(atleast_nd)
      147    0.001    0.000    0.009    0.000 _typing_extra.py:314(get_model_type_hints)
    13021    0.009    0.000    0.009    0.000 {method 'splitlines' of 'str' objects}
    54/40    0.000    0.000    0.009    0.000 base.py:749(create_for_statement)
        2    0.000    0.000    0.009    0.005 _memmapping_reducer.py:588(__init__)
        1    0.000    0.000    0.009    0.009 context.py:227(_count_physical_cores)
      536    0.001    0.000    0.009    0.000 __init__.py:1040(_normalized_name)
       12    0.000    0.000    0.009    0.001 _memmapping_reducer.py:603(set_current_context)
        1    0.000    0.000    0.009    0.009 context.py:311(_count_physical_cores_darwin)
      262    0.000    0.000    0.009    0.000 interfaces.py:1084(create_row_processor)
        1    0.000    0.000    0.009    0.009 _mio4.py:1(<module>)
        3    0.000    0.000    0.009    0.003 poolmanager.py:290(connection_from_host)
        6    0.000    0.000    0.009    0.002 sqlalchemy_store.py:1631(_log_params)
        5    0.000    0.000    0.009    0.002 parser.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _psposix.py:1(<module>)
       20    0.000    0.000    0.009    0.000 axis.py:59(__init__)
        1    0.009    0.009    0.009    0.009 _linalg.py:2418(lstsq)
       15    0.009    0.001    0.009    0.001 {method 'argsort' of 'numpy.ndarray' objects}
      467    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.009    0.009 codegen.py:1(<module>)
       21    0.000    0.000    0.009    0.000 _distn_infrastructure.py:3330(__init__)
        1    0.000    0.000    0.009    0.009 _gb.py:1(<module>)
      766    0.002    0.000    0.009    0.000 _compiler.py:514(_compile_info)
        1    0.000    0.000    0.009    0.009 _sag.py:1(<module>)
        1    0.000    0.000    0.009    0.009 sqlalchemy_store.py:285(_get_or_create_engine)
        1    0.000    0.000    0.009    0.009 sqlalchemy_store.py:368(_initialize_store_state)
        1    0.000    0.000    0.009    0.009 utils.py:272(create_sqlalchemy_engine_with_retry)
      194    0.000    0.000    0.009    0.000 _parser.py:176(_parse_requirement_marker)
        1    0.000    0.000    0.009    0.009 commit.py:1(<module>)
        8    0.000    0.000    0.009    0.001 terminal256.py:135(__init__)
       26    0.000    0.000    0.009    0.000 context.py:440(create_for_statement)
        3    0.000    0.000    0.009    0.003 poolmanager.py:319(connection_from_context)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.001    0.001    0.009    0.009 backend_agg.py:1(<module>)
       26    0.000    0.000    0.009    0.000 context.py:1088(_create_orm_context)
      131    0.000    0.000    0.009    0.000 _distn_infrastructure.py:738(_attach_argparser_methods)
       19    0.001    0.000    0.009    0.000 client.py:227(__init__)
      824    0.001    0.000    0.009    0.000 default_comparator.py:50(_boolean_compare)
        4    0.000    0.000    0.009    0.002 fluent.py:2467(_use_logged_model)
        1    0.000    0.000    0.009    0.009 uarray.py:1(<module>)
      980    0.001    0.000    0.009    0.000 __init__.py:751(__setitem__)
        2    0.000    0.000    0.009    0.004 fluent.py:2768(finalize_logged_model)
        1    0.000    0.000    0.009    0.009 _fitpack2.py:1(<module>)
        2    0.000    0.000    0.009    0.004 client.py:901(get_logged_model)
        1    0.000    0.000    0.009    0.009 platform.py:939(__iter__)
      143    0.000    0.000    0.009    0.000 _schema_gather.py:195(gather_schemas_for_cleaning)
      536    0.000    0.000    0.009    0.000 annotation.py:369(__eq__)
        2    0.000    0.000    0.009    0.004 _classification.py:1383(f1_score)
        1    0.000    0.000    0.009    0.009 platform.py:935(processor)
        1    0.000    0.000    0.009    0.009 platform.py:866(get)
        2    0.000    0.000    0.009    0.004 _classification.py:1577(fbeta_score)
        1    0.000    0.000    0.009    0.009 platform.py:896(from_subprocess)
      200    0.000    0.000    0.009    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
        3    0.000    0.000    0.009    0.003 cli.py:1(<module>)
  376/326    0.000    0.000    0.009    0.000 <string>:1(_connection_for_bind)
      291    0.001    0.000    0.009    0.000 loading.py:1068(_instance)
        1    0.000    0.000    0.009    0.009 c_lexer.py:1(<module>)
      110    0.000    0.000    0.009    0.000 _distn_infrastructure.py:1934(_attach_methods)
5061/3478    0.003    0.000    0.009    0.000 _generate_schema.py:2684(_extract_get_pydantic_json_schema)
        2    0.000    0.000    0.009    0.004 sqlalchemy_store.py:2314(get_logged_model)
      401    0.001    0.000    0.009    0.000 base.py:278(_generative)
      629    0.000    0.000    0.009    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
  258/194    0.000    0.000    0.009    0.000 _parser.py:302(_parse_marker)
        4    0.000    0.000    0.009    0.002 _memmapping_reducer.py:636(register_folder_finalizer)
        3    0.009    0.003    0.009    0.003 {built-in method _scproxy._get_proxy_settings}
11520/143    0.006    0.000    0.009    0.000 _schema_gather.py:96(traverse_schema)
     4116    0.006    0.000    0.009    0.000 inspect.py:176(get_annotations)
        1    0.001    0.001    0.009    0.009 pg_catalog.py:1(<module>)
     1061    0.000    0.000    0.009    0.000 _typing_extra.py:458(eval_type_backport)
        1    0.000    0.000    0.008    0.008 _width.py:1(<module>)
  764/143    0.000    0.000    0.008    0.000 _schema_gather.py:75(traverse_definition_ref)
        1    0.000    0.000    0.008    0.008 _decomp_lu.py:1(<module>)
        1    0.000    0.000    0.008    0.008 make_judge.py:1(<module>)
        1    0.000    0.000    0.008    0.008 to_thread.py:1(<module>)
        4    0.000    0.000    0.008    0.002 _classification.py:337(accuracy_score)
     8515    0.008    0.000    0.008    0.000 parallel.py:1749(_wait_retrieval)
        1    0.000    0.000    0.008    0.008 resource_tracker.py:151(_launch)
        8    0.001    0.000    0.008    0.001 terminal256.py:224(_setup_styles)
        1    0.000    0.000    0.008    0.008 platform.py:759(architecture)
        1    0.000    0.000    0.008    0.008 platform.py:715(_syscmd_file)
        3    0.000    0.000    0.008    0.003 poolmanager.py:344(connection_from_pool_key)
        1    0.000    0.000    0.008    0.008 contingency.py:1(<module>)
     2144    0.001    0.000    0.008    0.000 _functools.py:89(pass_none)
       57    0.000    0.000    0.008    0.000 generic.py:6454(dtypes)
        1    0.000    0.000    0.008    0.008 ddl.py:1(<module>)
     1061    0.000    0.000    0.008    0.000 _typing_extra.py:504(_eval_type_backport)
        1    0.000    0.000    0.008    0.008 GifImagePlugin.py:1(<module>)
        2    0.000    0.000    0.008    0.004 __init__.py:148(get_default_pip_requirements)
       80    0.001    0.000    0.008    0.000 traitlets.py:991(setup_class)
        6    0.000    0.000    0.008    0.001 strategies.py:1963(create_row_processor)
  410/308    0.000    0.000    0.008    0.000 _parser.py:314(_parse_marker_atom)
        1    0.000    0.000    0.008    0.008 selectable.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _decomp.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _svdp.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _nmf.py:1(<module>)
      842    0.004    0.000    0.008    0.000 fields.py:228(__init__)
  376/326    0.000    0.000    0.008    0.000 session.py:1150(_connection_for_bind)
        2    0.000    0.000    0.008    0.004 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.008    0.008 search_utils.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _odepack_py.py:1(<module>)
    31691    0.005    0.000    0.008    0.000 message.py:515(set_raw)
        2    0.000    0.000    0.008    0.004 client.py:5829(finalize_logged_model)
        1    0.000    0.000    0.008    0.008 comments.py:1(<module>)
      534    0.000    0.000    0.008    0.000 __init__.py:364(_from_text_for)
        2    0.000    0.000    0.008    0.004 client.py:898(finalize_logged_model)
        1    0.000    0.000    0.008    0.008 model_version.py:1(<module>)
        1    0.000    0.000    0.008    0.008 resource_tracker.py:396(spawnv_passfds)
     1061    0.000    0.000    0.008    0.000 _typing_extra.py:534(_eval_type)
        2    0.000    0.000    0.008    0.004 sqlalchemy_store.py:2356(finalize_logged_model)
      463    0.002    0.000    0.008    0.000 typing.py:1207(_generic_class_getitem)
       24    0.000    0.000    0.008    0.000 _fields.py:436(rebuild_model_fields)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
      270    0.001    0.000    0.008    0.000 _decorators.py:363(decorator)
      456    0.000    0.000    0.008    0.000 artist.py:1532(number_of_parameters)
      235    0.000    0.000    0.008    0.000 typing.py:806(Optional)
        1    0.000    0.000    0.008    0.008 assessments_pb2.py:1(<module>)
       13    0.000    0.000    0.008    0.001 magic_arguments.py:235(__call__)
    31833    0.005    0.000    0.008    0.000 <frozen posixpath>:42(_get_sep)
       13    0.000    0.000    0.008    0.001 magic_arguments.py:173(construct_parser)
        3    0.000    0.000    0.008    0.003 poolmanager.py:243(_new_pool)
        2    0.000    0.000    0.008    0.004 sklearn.py:1(<module>)
        3    0.001    0.000    0.008    0.003 sessions.py:442(__init__)
      279    0.000    0.000    0.008    0.000 langhelpers.py:313(_exec_code_in_env)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
        6    0.000    0.000    0.008    0.001 sqlalchemy_store.py:1201(_update_latest_metrics_if_necessary)
      633    0.001    0.000    0.008    0.000 base.py:177(_listen)
       13    0.000    0.000    0.008    0.001 axis.py:428(__init__)
       59    0.004    0.000    0.008    0.000 backend_agg.py:248(_prepare_font)
     2036    0.001    0.000    0.008    0.000 <frozen codecs>:322(decode)
       15    0.000    0.000    0.008    0.001 result.py:761(_only_one_row)
       11    0.000    0.000    0.008    0.001 common.py:1(<module>)
       28    0.000    0.000    0.008    0.000 series.py:6439(_reduce)
      168    0.000    0.000    0.008    0.000 _fields.py:483(_recreate_field_info)
        2    0.000    0.000    0.008    0.004 fluent.py:359(__exit__)
       73    0.000    0.000    0.008    0.000 strategies.py:708(__init__)
  152/148    0.001    0.000    0.008    0.000 _param_validation.py:28(validate_parameter_constraints)
4133/1065    0.003    0.000    0.008    0.000 typing.py:463(_eval_type)
        3    0.001    0.000    0.008    0.003 connectionpool.py:993(__init__)
        1    0.000    0.000    0.008    0.008 _codata.py:1(<module>)
    10736    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        2    0.000    0.000    0.007    0.004 fluent.py:694(end_run)
     9485    0.004    0.000    0.007    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.007    0.007 oinspect.py:1(<module>)
        1    0.000    0.000    0.007    0.007 utils.py:295(create_sqlalchemy_engine)
       26    0.000    0.000    0.007    0.000 result.py:1700(_fetchone_impl)
       27    0.000    0.000    0.007    0.000 result.py:2293(_fetchone_impl)
        1    0.000    0.000    0.007    0.007 information_schema.py:1(<module>)
      757    0.001    0.000    0.007    0.000 fields.py:479(_construct)
        1    0.000    0.000    0.007    0.007 <string>:1(create_engine)
     1217    0.003    0.000    0.007    0.000 dataclasses.py:768(_get_field)
        4    0.000    0.000    0.007    0.002 html.py:1(<module>)
        1    0.000    0.000    0.007    0.007 create.py:92(create_engine)
       59    0.000    0.000    0.007    0.000 default.py:727(_do_ping_w_event)
        1    0.000    0.000    0.007    0.007 textpath.py:1(<module>)
     3579    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
  447/446    0.000    0.000    0.007    0.000 inspection.py:113(inspect)
       66    0.000    0.000    0.007    0.000 frame.py:4282(__setitem__)
        3    0.000    0.000    0.007    0.002 align.py:1(<module>)
        8    0.000    0.000    0.007    0.001 result.py:1820(one_or_none)
       94    0.000    0.000    0.007    0.000 __init__.py:1450(_preprocess_data)
       10    0.000    0.000    0.007    0.001 client.py:478(get_metric_history)
       10    0.000    0.000    0.007    0.001 client.py:124(get_metric_history)
        1    0.000    0.000    0.007    0.007 toimpl.py:1(<module>)
        1    0.000    0.000    0.007    0.007 attributes.py:1(<module>)
      358    0.000    0.000    0.007    0.000 function_base.py:490(add_newdoc)
      398    0.000    0.000    0.007    0.000 __init__.py:855(zip_children)
       59    0.000    0.000    0.007    0.000 default.py:750(do_ping)
       10    0.001    0.000    0.007    0.001 sqlalchemy_store.py:1320(get_metric_history)
        3    0.007    0.002    0.007    0.002 {method 'connect' of '_socket.socket' objects}
        2    0.000    0.000    0.007    0.004 _delegation.py:1(<module>)
        2    0.000    0.000    0.007    0.004 client.py:3741(set_terminated)
        3    0.000    0.000    0.007    0.002 multiclass.py:201(check_classification_targets)
        2    0.000    0.000    0.007    0.004 client.py:789(set_terminated)
        1    0.000    0.000    0.007    0.007 _realtransforms.py:1(<module>)
        1    0.000    0.000    0.007    0.007 named_commands.py:1(<module>)
    21464    0.005    0.000    0.007    0.000 _local.py:107(__new__)
  121/108    0.000    0.000    0.007    0.000 _generate_schema.py:2421(new_handler)
        1    0.000    0.000    0.007    0.007 _supervised.py:1(<module>)
        9    0.000    0.000    0.007    0.001 generic.py:12427(_stat_function)
       14    0.000    0.000    0.007    0.001 _encode.py:14(_unique)
        6    0.000    0.000    0.007    0.001 strategies.py:1827(_setup_query_from_rowproc)
       73    0.000    0.000    0.007    0.000 unitofwork.py:43(track_cascade_events)
        9    0.000    0.000    0.007    0.001 nanops.py:111(f)
        1    0.000    0.000    0.007    0.007 _numdiff.py:1(<module>)
      291    0.000    0.000    0.007    0.000 loading.py:1329(_populate_full)
        2    0.000    0.000    0.007    0.003 sqlalchemy_store.py:926(update_run_info)
        1    0.000    0.000    0.007    0.007 lsq_linear.py:1(<module>)
     3579    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       14    0.000    0.000    0.007    0.000 _encode.py:55(_unique_np)
        7    0.000    0.000    0.007    0.001 series.py:6572(median)
        7    0.000    0.000    0.007    0.001 generic.py:12489(median)
        6    0.000    0.000    0.007    0.001 errors.py:1(<module>)
        3    0.003    0.001    0.007    0.002 connectionpool.py:175(__init__)
        1    0.000    0.000    0.007    0.007 text_format.py:1(<module>)
7306/2034    0.006    0.000    0.007    0.000 _parser.py:177(getwidth)
        7    0.000    0.000    0.007    0.001 nanops.py:736(nanmedian)
      166    0.001    0.000    0.007    0.000 blocks.py:816(copy)
       66    0.000    0.000    0.007    0.000 frame.py:4525(_set_item)
        3    0.000    0.000    0.007    0.002 client.py:661(log_artifact)
      124    0.000    0.000    0.007    0.000 pydoc.py:198(getdoc)
        6    0.000    0.000    0.007    0.001 strategies.py:2074(load_collection_from_subq)
      984    0.000    0.000    0.007    0.000 artist.py:1538(is_alias)
      6/5    0.000    0.000    0.007    0.001 _migration.py:251(getattr_migration)
       11    0.000    0.000    0.007    0.001 _base.py:73(wrapper)
        1    0.000    0.000    0.007    0.007 specifiers.py:1(<module>)
    48466    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
     2315    0.001    0.000    0.007    0.000 _methods.py:64(_all)
        1    0.000    0.000    0.007    0.007 ImageMath.py:1(<module>)
       19    0.000    0.000    0.007    0.000 utils.py:182(_resolve_registry_uri)
