         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.001    0.000    1.032    0.025 utils.py:1(<module>)
    21524    0.007    0.000    1.024    0.000 _abc.py:442(exists)
        1    0.000    0.000    1.019    1.019 _stats_py.py:1(<module>)
    21534    0.004    0.000    1.017    0.000 _local.py:510(stat)
  286/228    0.000    0.000    0.997    0.004 <frozen importlib._bootstrap_external>:1326(exec_module)
  286/228    0.059    0.000    0.996    0.004 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.846    0.846 pyarrow.py:1(<module>)
        1    0.000    0.000    0.844    0.844 _smote_enn.py:1(<module>)
        1    0.000    0.000    0.823    0.823 _sklearn_compat.py:1(<module>)
     3580    0.005    0.000    0.779    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
        1    0.000    0.000    0.756    0.756 fluent.py:143(set_experiment)
       59    0.000    0.000    0.754    0.013 client.py:101(store)
       78    0.000    0.000    0.754    0.010 utils.py:269(_get_store)
       20    0.000    0.000    0.753    0.038 client.py:89(__init__)
       78    0.000    0.000    0.753    0.010 registry.py:27(get_store)
        1    0.000    0.000    0.753    0.753 registry.py:47(_get_store_with_resolved_uri)
        1    0.000    0.000    0.753    0.753 utils.py:187(_get_sqlalchemy_store)
        1    0.000    0.000    0.723    0.723 instance_generator.py:1(<module>)
        3    0.001    0.000    0.715    0.238 api.py:24(request)
        3    0.002    0.001    0.706    0.235 sessions.py:557(request)
        2    0.004    0.002    0.697    0.349 client.py:259(_process_records)
        2    0.000    0.000    0.691    0.346 client.py:323(_send_with_retries)
        2    0.001    0.000    0.691    0.346 client.py:280(<lambda>)
        2    0.000    0.000    0.690    0.345 api.py:117(post)
        3    0.000    0.000    0.669    0.223 sessions.py:752(send)
        1    0.000    0.000    0.617    0.617 base.py:183(fit_resample)
        1    0.000    0.000    0.616    0.616 base.py:74(fit_resample)
   164/72    0.000    0.000    0.615    0.009 __init__.py:71(import_module)
   165/72    0.000    0.000    0.615    0.009 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.610    0.610 sqlalchemy_store.py:1(<module>)
      723    0.001    0.000    0.531    0.001 __init__.py:524(metadata)
     3590    0.520    0.000    0.520    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.003    0.003    0.519    0.519 base.py:348(_fit_resample)
        2    0.000    0.000    0.490    0.245 session.py:1(<module>)
        3    0.000    0.000    0.478    0.159 adapters.py:634(send)
        3    0.000    0.000    0.465    0.155 connectionpool.py:592(urlopen)
    69495    0.039    0.000    0.463    0.000 _local.py:289(drive)
